タイトル,種類,見出し,説明,補足,英語ラベル,ボタン文言,リンクURL,追加ボタン文言,追加リンクURL,第3ボタン文言,第3リンクURL,画像パス,アイコン,アンカー,番号,値,サブラベル,公開,表示順,見出し（韓国語）,見出し（英語）,説明（韓国語）,説明（英語）,ボタン文言（韓国語）,ボタン文言（英語）
テーマ：テーマ名,ページ設定,,,,,,,,,,,,,,,RESCENE Member Colors,,TRUE,1,,,,,,
テーマ：背景色,ページ設定,,,,,,,,,,,,,,,#111118,,TRUE,2,,,,,,
テーマ：背景色2,ページ設定,,,,,,,,,,,,,,,#191823,,TRUE,3,,,,,,
テーマ：カード色,ページ設定,,,,,,,,,,,,,,,#20202b,,TRUE,4,,,,,,
テーマ：カード色2,ページ設定,,,,,,,,,,,,,,,#292837,,TRUE,5,,,,,,
テーマ：メインカラー,ページ設定,,,,,,,,,,,,,,,#79d98c,,TRUE,6,,,,,,
テーマ：メインカラー（淡色）,ページ設定,,,,,,,,,,,,,,,#a8e8b3,,TRUE,7,,,,,,
テーマ：サブカラー,ページ設定,,,,,,,,,,,,,,,#9c72ff,,TRUE,8,,,,,,
テーマ：アクセントカラー,ページ設定,,,,,,,,,,,,,,,#79d98c,,TRUE,9,,,,,,
テーマ：ブルーカラー,ページ設定,,,,,,,,,,,,,,,#4f8dff,,TRUE,10,,,,,,
テーマ：イエローカラー,ページ設定,,,,,,,,,,,,,,,#f4d04b,,TRUE,11,,,,,,
テーマ：インクカラー,ページ設定,,,,,,,,,,,,,,,#2c2c35,,TRUE,12,,,,,,
テーマ：ウォニカラー,ページ設定,,,,,,,,,,,,,,,#79d98c,,TRUE,13,,,,,,
テーマ：リブカラー,ページ設定,,,,,,,,,,,,,,,#2c2c35,,TRUE,14,,,,,,
テーマ：ミナミカラー,ページ設定,,,,,,,,,,,,,,,#4f8dff,,TRUE,15,,,,,,
テーマ：メイカラー,ページ設定,,,,,,,,,,,,,,,#f4d04b,,TRUE,16,,,,,,
テーマ：ゼナカラー,ページ設定,,,,,,,,,,,,,,,#9c72ff,,TRUE,17,,,,,,
テーマ：文字色,ページ設定,,,,,,,,,,,,,,,#f8f7fb,,TRUE,18,,,,,,
テーマ：補助文字色,ページ設定,,,,,,,,,,,,,,,#bbb7c6,,TRUE,19,,,,,,
テーマ：ライト背景色,ページ設定,,,,,,,,,,,,,,,#fffdf6,,TRUE,20,,,,,,
テーマ：ライトカード色,ページ設定,,,,,,,,,,,,,,,#ffffff,,TRUE,21,,,,,,
テーマ：ライト文字色,ページ設定,,,,,,,,,,,,,,,#292630,,TRUE,22,,,,,,
ナビ：ホーム,ページ設定,ホーム,,,,,index.html,,,,,,,nav-home,,,,TRUE,10,홈,Home,,,,
ナビ：RESCENEについて,ページ設定,RESCENEについて,,RESCENE,,,about.html,,,,,,,nav-about,,,,TRUE,20,RESCENE 소개,About RESCENE,,,,
ナビ：メンバー,ページ設定,メンバー,,RESCENE,,,members.html,,,,,,,nav-members,,,,TRUE,21,멤버,Members,,,,
ナビ：スケジュール,ページ設定,スケジュール,,,,,schedule.html,,,,,,,nav-schedule,,,,TRUE,30,스케줄,Schedule,,,,
ナビ：ニュース,ページ設定,ニュース,,,,,news.html,,,,,,,nav-news,,,,TRUE,40,뉴스,News,,,,
ナビ：ディスコグラフィ,ページ設定,ディスコグラフィ,,音楽,,,discography.html,,,,,,,nav-discography,,,,TRUE,50,디스코그래피,Discography,,,,
ナビ：MV一覧,ページ設定,MV一覧,,音楽,,,mv.html,,,,,,,nav-mv,,,,TRUE,51,MV 목록,MV List,,,,
ナビ：YouTube,ページ設定,YouTube,,音楽,,,youtube.html,,,,,,,nav-youtube,,,,TRUE,52,YouTube,YouTube,,,,
ナビ：記録,ページ設定,記録,,音楽,,,records.html,,,,,,,nav-records,,,,TRUE,53,기록,Records,,,,
ナビ：ストリーミング,ページ設定,ストリーミング,,応援ガイド,,,streaming.html,,,,,,,nav-streaming,,,,TRUE,60,스트리밍,Streaming,,,,
ナビ：投票ガイド,ページ設定,投票ガイド,,応援ガイド,,,voting.html,,,,,,,nav-voting,,,,TRUE,61,투표 가이드,Voting Guide,,,,
ナビ：掛け声ガイド,ページ設定,掛け声ガイド,,応援ガイド,,,chants.html,,,,,,,nav-chants,,,,TRUE,62,응원법 가이드,Fan Chant Guide,,,,
ナビ：公式リンク,ページ設定,公式リンク,,リンク,,,links.html,,,,,,,nav-links,,,,TRUE,70,공식 링크,Official Links,,,,
ナビ：ファンサービスガイド,ページ設定,ファンサービスガイド,,リンク,,,fan-services.html,,,,,,,nav-fan-services,,,,TRUE,71,팬 서비스 가이드,Fan Service Guide,,,,
ナビ：お問い合わせ,ページ設定,お問い合わせ,,リンク,,,contact.html,,,,,,,nav-contact,,,,TRUE,72,문의,Contact,,,,
ページ設定：index.html,ページ設定,,,,,,,,,,,,,page-index,,,,TRUE,200,,,,,,
ページ設定：about.html,ページ設定,RESCENEについて,香りと記憶を結ぶ、RESCENEのコンセプトと歩み。,,ABOUT RESCENE,,,,,,,,,page-about,,,,TRUE,201,,,,,,
ページ設定：members.html,ページ設定,メンバー,RESCENEを作る5人のメンバー。写真付きの一覧と詳細プロフィールをまとめています。,,MEMBERS,,,,,,,,,page-members,,,,TRUE,202,,,,,,
ページ設定：schedule.html,ページ設定,スケジュール,RESCENEのリリース、出演、記念日、メンバーの誕生日をカレンダーで確認できます。,,SCHEDULE,,,,,,,,,page-schedule,,,,TRUE,203,,,,,,
ページ設定：news.html,ページ設定,ニュース,RESCENEのリリース、イベント、サイトからのお知らせ。,,NEWS,,,,,,,,,page-news,,,,TRUE,204,,,,,,
ページ設定：discography.html,ページ設定,ディスコグラフィ,RESCENEの作品をカテゴリー別・新しい順にまとめています。ニュースページのように、カテゴリーごとに絞り込みできます。,,DISCOGRAPHY,,,,,,,,,page-discography,,,,TRUE,205,,,,,,
ページ設定：mv.html,ページ設定,MV一覧,,,MUSIC VIDEO,,,,,,,,,page-mv,,,,TRUE,206,,,,,,
ページ設定：youtube.html,ページ設定,YouTube,RESCENE公式チャンネルと、ウォニの個人チャンネルで公開されている動画をまとめています。,,OFFICIAL & WONI CHANNEL,,,,,,,,,page-youtube,,,,TRUE,207,,,,,,
ページ設定：records.html,ページ設定,記録,RESCENEの音楽番組1位獲得記録とMelonチャート記録をまとめています。,,RESCENE RECORDS,,,,,,,,,page-records,,,,TRUE,208,,,,,,
ページ設定：music-show-wins.html,ページ設定,音楽番組1位獲得記録,RESCENEが韓国の音楽番組で獲得した1位を、総獲得数とあわせて掲載しています。,,MUSIC SHOW WINS,,,,,,,,,page-music-show-wins,,,,TRUE,209,,,,,,
ページ設定：melon-records.html,ページ設定,Melonチャート記録,楽曲を発売日の古い順に並べ、TOP100最高順位・日間最高順位・MVを掲載しています。,,MELON CHART RECORDS,,,,,,,,,page-melon-records,,,,TRUE,210,,,,,,
ページ設定：streaming.html,ページ設定,ストリーミング,アプリの準備から再生・投稿・参加まで、初めての方でも順番に進められるサービス別ガイド。,,STREAMING GUIDE,,,,,,,,,page-streaming,,,,TRUE,211,,,,,,
ページ設定：voting.html,ページ設定,RESCENE 投票ガイド,音楽番組の投票アプリ、事前準備、投票券の集め方をひとつのページにまとめています。カムバック前から準備して、投票開始後すぐに参加できる状態にしておきましょう。,,VOTING GUIDE,,,,,,,,,page-voting,,,,TRUE,212,,,,,,
ページ設定：chants.html,ページ設定,掛け声ガイド,RESCENEのステージを一緒に楽しむための掛け声ページです。現場に持っていきやすいよう、楽曲ごとの画像をまとめています。,,FAN CHANT,,,,,,,,,page-chants,,,,TRUE,213,,,,,,
ページ設定：links.html,ページ設定,公式リンク,RESCENEの公式SNS、ファンコミュニティ、音楽配信サービスへの入口。,,OFFICIAL LINKS,,,,,,,,,page-links,,,,TRUE,214,,,,,,
